#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 1.5345037785271396E+01    2.3131795417251664E-02    7.6522786257747405E+17    6.8736576367979704E+16    1.7468381460517590E+04    7.6522786257747405E+17    7.3526559817789376E+16    7.6507447395392282E+17    1.2888710312110342E+10    7.6522338285266624E+17    7.6522786257747379E+17    3.5737533681131716E+09    7.4048512129199066E+17    7.6522786257747405E+17    8.4145544020285286E+01    2.4639340878345885E+09    4.8317208046131203E+10    9.8745247667455936E+16    1.1183715253953922E+11
 1.6474354103604352E+01    2.0208234859900157E-02    7.6522786349794266E+17    2.2080797900790390E+17    2.0538819984176054E+04    7.6522786349794266E+17    1.3830459608904010E+17    7.6522780373314317E+17    1.5109523319573593E+10    7.6522759300320282E+17    7.6522786349794266E+17    3.2233036074134483E+09    7.5970084158022272E+17    7.6522786349794266E+17    9.0390330413949130E+01    2.1624430003853350E+09    5.7765115655585579E+10    7.2775387987577520E+16    1.2315715448920428E+11
 1.7709737501375198E+01    1.7586838825254768E-02    7.6522786455311974E+17    4.9629628289557382E+17    2.4063459285450190E+04    7.6522786455311974E+17    2.4881457373261206E+17    7.6522786454958323E+17    1.7481881872219059E+10    7.6522785125947149E+17    7.6522786455311974E+17    2.8598550849433084E+09    7.6412491667099213E+17    7.6522786455311974E+17    9.6671332421763708E+01    1.8967836111726937E+09    6.8031876605808235E+10    5.3435140714886768E+16    1.3647544084204257E+11
 1.8974171210939996E+01    1.5387312405364496E-02    7.6522786570267546E+17    6.8407588311505485E+17    2.7854433302965008E+04    7.6522786570267546E+17    3.9241373225008499E+17    7.6522786570267546E+17    1.9807510069294880E+10    7.6522786505610957E+17    7.6522786570267546E+17    2.5276807210283208E+09    7.6500725977606208E+17    7.6522786570267546E+17    1.0263934676561979E+02    1.6773987350458879E+09    7.8310060002555191E+10    3.9976576566810896E+16    1.5113588885636188E+11
 2.0305974783668599E+01    1.3480177635892121E-02    7.6522786700437734E+17    7.4674743628832794E+17    3.2055481676853142E+04    7.6522786700437734E+17    5.3700165110140858E+17    7.6522786700437734E+17    2.2259902101426815E+10    7.6522786697585677E+17    7.6522786700437734E+17    2.2405523029437342E+09    7.6518564928788595E+17    7.6522786700437734E+17    1.0853341227512270E+02    1.4897468643223703E+09    8.9435480216832825E+10    3.0210624975547268E+16    1.6766760238156360E+11
 2.1760697761560518E+01    1.1769061134683784E-02    7.6522786853910502E+17    7.6170026784787635E+17    3.6900783344747215E+04    7.6522786853910502E+17    6.4840740324813453E+17    7.6522786853910502E+17    2.5512878363072506E+10    7.6522786853809242E+17    7.6522786853910502E+17    2.0341783688631868E+09    7.6522062110078886E+17    7.6522786853910502E+17    1.1461310866037141E+02    1.3233081568809052E+09    1.0450984386647838E+11    2.2862392264119236E+16    1.8689200099921994E+11
 2.3275502654102699E+01    1.0306701529421381E-02    7.6522787023984026E+17    7.6458608148823693E+17    4.2249395287722618E+04    7.6522787023984026E+17    7.1165316186436198E+17    7.6522787023984026E+17    3.1516761897552170E+10    7.6522787023980659E+17    7.6522787023984026E+17    2.0239027522833946E+09    7.6522666174519770E+17    7.6522787023984026E+17    1.2063528207496012E+02    1.1823904063532856E+09    1.3229747860772342E+11    1.7557562345753318E+16    2.0800256312853549E+11
 2.4807870336291568E+01    1.0000000000000000E-02    7.6522787200955302E+17    7.6485456495015411E+17    4.7991623697861134E+04    7.6522787200955302E+17    7.2609626486586893E+17    7.6522787200955302E+17    3.7149316820667328E+10    7.6522787200954061E+17    7.6522787200955302E+17    2.2069402545601430E+09    7.6522718009496282E+17    7.6522787200955302E+17    1.2647447183777751E+02    1.0654306591408436E+09    1.5690145389318192E+11    1.3762527377803142E+16    2.3020011512834583E+11
 2.6495472171783302E+01    1.0000000000000000E-02    7.6522787401403494E+17    7.6492061359739635E+17    5.4713377467128179E+04    7.6522787401403494E+17    7.3221955550895667E+17    7.6522787401403494E+17    4.2087952084152351E+10    7.6522787401402547E+17    7.6522787401403494E+17    2.4075695391521130E+09    7.6522730191786496E+17    7.6522787401403494E+17    1.3266551664949401E+02    9.5940463727347112E+08    1.7787038778854642E+11    1.0776801385154780E+16    2.5521789450202191E+11
 2.8298034613564717E+01    1.0000000000000000E-02    7.6522787623209062E+17    7.6497503044971686E+17    6.2369163614306453E+04    7.6522787623209062E+17    7.3745344573481126E+17    7.6522787623209062E+17    4.7687636978628845E+10    7.6522787623208358E+17    7.6522787623209062E+17    2.6363387562132697E+09    7.6522740336143347E+17    7.6522787623209062E+17    1.3905432500779187E+02    8.6637589806198788E+08    2.0192708444408557E+11    8.4976646972445920E+15    2.8201772972560620E+11
